source_run_id,paper_id,point_id,task_id,task_stage,artifact_kind,relative_path,content_hash,status,provenance,note
0004,MF2033k6lC,NP-2,T-1,first_round,run_metadata,docs/experiments/20260916_233840/runs/full/0004/run.json,5bdbab6670dfb2c571ad27b30474e387af388f8073e3a7966154a5e409ad3d9f,available,original,historical run identity
0004,MF2033k6lC,NP-2,T-1,first_round,novelty_points,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/novelty-points.json,fbaa4aaeae997537da4a324f92746f3a0ea96cc49c730bbaa91556e568b1b35e,available,original,full stored list; NP-2 extracted separately
0004,MF2033k6lC,NP-2,T-1,first_round,retrieval_plans,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/retrieval-plans.json,ecbdabc4cb716b769bdf4be1efa7e67a6220af96045a3c490dd60f236b19fb8c,available,original,"contains compiled SearchPlan, not raw Draft"
0004,MF2033k6lC,NP-2,T-1,first_round,research_attempt,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/research-runs/NP-2/T-1/attempt-1.json,abb854a2ed1e05102341a6191a94a5b3fb1e61142ad362214a6d169d544aabd3,available,original,first round T-1 by task_type and attempt
0004,MF2033k6lC,NP-2,T-1,first_round,candidate_audit,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/candidate-audit.json,7a7cc8442b123fb0c4a4d1a0ec7fddfc1b5c5b57021110540ba558b263e03f2b,available,original,task filtering required
0004,MF2033k6lC,NP-2,T-1,first_round,runtime_manifest,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/runtime/run-c6633c61871f4aa9b85a08ec3146e42b/manifest.json,51c406e466f9691878063abb242d15ee9d6710e52505159eeaafb360316866e0,available,original,full run not single point
0004,MF2033k6lC,NP-2,T-1,first_round,subject_references,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/subject_references/list.json,bfe89b8f55103669d0aeac0114c2111221495960d7970c791579b10dede6aad1,available,original,initial state timing unverified
0004,MF2033k6lC,NP-2,T-1,first_round,references,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/references/list.json,9f9b93feb1fb3a7ba79b4f95c047874f5ea448ae27c6b76bf0ea378620d17f29,available,original,initial state timing unverified
0004,MF2033k6lC,NP-2,T-1,first_round,raw_search_plan_draft,,,missing,original,not present in archived runtime or retrieval plan
0004,MF2033k6lC,NP-2,T-1,first_round,rendered_planner_messages,,,missing,original,LLM calls hold metadata only
0004,MF2033k6lC,NP-2,T-1,first_round,provider_raw_response,,,incomplete,original,search execution results exist; provider wire response not established
0004,MF2033k6lC,NP-2,T-1,first_round,initial_state_snapshot,,,incomplete,original,assets exist but exact pre-task writable state not established
0004,MF2033k6lC,NP-2,T-1,first_round,planner_stage_input,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/runtime/run-c6633c61871f4aa9b85a08ec3146e42b/stages/0005_plan_research_task/input.json,d82a01d4180d416e5755b83d8baa8b463e8d8f21d18da11da0f205b28041f0a1,available,original,runtime stage; output is compiled plan
0004,MF2033k6lC,NP-2,T-1,first_round,planner_stage_output,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/runtime/run-c6633c61871f4aa9b85a08ec3146e42b/stages/0005_plan_research_task/output.json,87bfa1a2dac669f3d928919248f5dbfa18ba95eb1d17b848823a987101d05b3a,available,original,runtime stage; output is compiled plan
