source_run_id,point_id,task_id,parent_task_id,task_stage,artifact_kind,relative_path,content_hash,availability,data_source,supports,cannot_support
0004,NP-2,T-1,,first_round,compiled_search_plan,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/retrieval-plans.json,ecbdabc4cb716b769bdf4be1efa7e67a6220af96045a3c490dd60f236b19fb8c,available,original,C0 archived plan and task binding,does not contain original SearchPlanDraft
0004,NP-2,T-1,,first_round,novelty_point,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/novelty-points.json,fbaa4aaeae997537da4a324f92746f3a0ea96cc49c730bbaa91556e568b1b35e,available,original,fixed point input,does not prove planner prompt identity
0004,NP-2,T-1,,first_round,research_result,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/research-runs/NP-2/T-1/attempt-1.json,abb854a2ed1e05102341a6191a94a5b3fb1e61142ad362214a6d169d544aabd3,available,original,execution/candidate lineage,does not reconstruct planner draft
0004,NP-2,T-1,,first_round,runtime_debug,docs/experiments/20260916_233840/runs/full/0004/MF2033k6lC/runtime/run-c6633c61871f4aa9b85a08ec3146e42b,8ca888d017f28700df542d2bbfaf10513b95c913c8c20685c994d3c1f5007013,available,original,stage and tool event inspection,not a zero-call response fixture for new C1 requests
0004,NP-2,T-1,,first_round,search_plan_draft,,,missing,missing,would support exact Draft x Compiler replay,P4/P5/P6 cannot be labelled original Drafts
0005,NP-2,T-1,,first_round,compiled_search_plan,docs/experiments/20260916_233840/runs/full/0005/MF2033k6lC/retrieval-plans.json,de69048c3cbe770459cad9cd43d31c9b7f4e0b5a73a857a186a4dff4ee0b8272,available,original,C0 archived plan and task binding,does not contain original SearchPlanDraft
0005,NP-2,T-1,,first_round,novelty_point,docs/experiments/20260916_233840/runs/full/0005/MF2033k6lC/novelty-points.json,13f48173487c29235e5ab1582a7b62293f1d6db58d5a93659c5faae7138cb999,available,original,fixed point input,does not prove planner prompt identity
0005,NP-2,T-1,,first_round,research_result,docs/experiments/20260916_233840/runs/full/0005/MF2033k6lC/research-runs/NP-2/T-1/attempt-1.json,dc333bcd12a27816d4aabb713023d559d1ec7dc1273c894e2e5518f955169abe,available,original,execution/candidate lineage,does not reconstruct planner draft
0005,NP-2,T-1,,first_round,runtime_debug,docs/experiments/20260916_233840/runs/full/0005/MF2033k6lC/runtime/run-063681ec4a1046b99be3a1ce43f54c77,536aec6f8493861e4976c3d933d0108b9294b8a630145987b38ae5f595b304c4,available,original,stage and tool event inspection,not a zero-call response fixture for new C1 requests
0005,NP-2,T-1,,first_round,search_plan_draft,,,missing,missing,would support exact Draft x Compiler replay,P4/P5/P6 cannot be labelled original Drafts
0006,NP-2,T-1,,first_round,compiled_search_plan,docs/experiments/20260916_233840/runs/full/0006/MF2033k6lC/retrieval-plans.json,e4283929f3bc6604791b5e4075c7fcd33205a4e00086d2aab9fa622235552e38,available,original,C0 archived plan and task binding,does not contain original SearchPlanDraft
0006,NP-2,T-1,,first_round,novelty_point,docs/experiments/20260916_233840/runs/full/0006/MF2033k6lC/novelty-points.json,cfdbe431582f6387d77d83057fa2947ad642664ccefe7c6bd1f7c5665853f09d,available,original,fixed point input,does not prove planner prompt identity
0006,NP-2,T-1,,first_round,research_result,docs/experiments/20260916_233840/runs/full/0006/MF2033k6lC/research-runs/NP-2/T-1/attempt-1.json,45412881eefaec80e54269d2dc4362b27bb65545645029da7b1855d78d041ef7,available,original,execution/candidate lineage,does not reconstruct planner draft
0006,NP-2,T-1,,first_round,runtime_debug,docs/experiments/20260916_233840/runs/full/0006/MF2033k6lC/runtime/run-35ba784d006c4137aa1c7adf065d9f1a,0d5bf8f8b3a279cef38cc3a2238e849d6c321d48aaaa972cbda0d8e835d304f8,available,original,stage and tool event inspection,not a zero-call response fixture for new C1 requests
0006,NP-2,T-1,,first_round,search_plan_draft,,,missing,missing,would support exact Draft x Compiler replay,P4/P5/P6 cannot be labelled original Drafts
